team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
United States Men's National Team,USMNT,2026,USA,3,3,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,70,5,9,-4,14,14,0,5,0,9,0,-4,0,54,54,0,30,30,0,0,0,0,2,2,0,1,1,0,2,2,0,12,12,0,4,4,0,46,46,0,41,41,0,13,13,0,28,28,0,44,44,0,3,3,0,3,3,0,0,0,0,1,1,0,1,1,0,1,1,0,1.33,1.33,0,4.67,4.67,0,1.67,1.67,0,3,3,0,2,2,0,1,1,0,1,1,0,3,3,2,2,2,1,3,3,2,2,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,2,0,0,0,0,0,0,100,100,67,67,67,33,100,100,67,67,67,33,0,0,0,0,0,0,0,0,33,33,33,67,0,0,33,33,33,67,0,0,0,0,0,0,3,2,1,3,2,1,0,0,0,100,67,33,100,67,33,0,0,0,33,33,0,0,0,0,0,67,67,0,33,33,0,67,67,0,0,0,0,0,0,0,1,1,0,33,33,0,2,2,0,67,67,0,33,33,0,33,33,0,33,33,0,4.00,4.00,0.00,1.33,1.33,0.00,100,100,100,100,67,33,0,0,1.18,1.51,0.00,1.17,1.51,0.00,200,1,1,0,1,0,0,1,0,1,0,0,0,1,2,4,1,0,1,0,0,0,67,67,0,0
Mexico National Team,Mexico,2026,Mexico,7,5,2,0,5,3,2,2,2,0,0,0,0,2.43,2.2,3,0,0,0,1,10,1,9,11,9,2,8,2,1,0,7,2,63,56,90,643,450,0,6,4,2,1,1,0,1,1,0,6,4,2,38,25,13,13,6,7,55,52,63,82,70,12,31,26,5,51,44,7,88,75,13,5,5,0,0,0,0,5,5,0,4,4,0,3,1,2,0,0,0,2.14,2.6,1,1.57,1.8,1,1.43,1.6,1,0.14,0.2,0,0.71,1,0,0.71,1,0,0,0,0,6,3,1,1,0,0,4,3,1,1,0,0,2,0,0,0,0,0,1,4,6,6,7,7,1,2,4,4,5,5,0,2,2,2,2,2,86,43,14,14,0,0,80,60,20,20,0,0,100,0,0,0,0,0,14,57,86,86,100,100,20,40,80,80,100,100,0,100,100,100,100,100,4,1,0,4,1,0,0,0,0,57,14,0,80,20,0,0,0,0,71,60,100,-16,86,80,100,14,20,0,14,20,0,86,80,100,7,5,2,100,100,100,3,1,2,43,20,100,0,0,0,0,0,0,57,80,0,43,20,100,0,0,0,5.43,5.00,6.50,1.86,1.2,3.50,71,71,43,43,14,14,0,0,1.37,1.59,0.82,0.83,0.83,0.85,14,1,1,3,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,29,40,0,0,0,0,0
Colombia National Team,Colombia,2026,Colombia,3,3,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,69,5,6,-1,11,11,0,5,0,6,0,-1,0,54,54,0,45,45,0,0,0,0,3,3,0,0,0,0,2,2,0,20,20,0,3,3,0,57,57,0,41,41,0,16,16,0,25,25,0,32,32,0,3,3,0,5,5,0,-2,-2,0,1,1,0,0,0,0,2,2,0,1,1,0,3.67,3.67,0,1.67,1.67,0,2,2,0,2.67,2.67,0,1,1,0,1.67,1.67,0,3,3,3,2,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,100,100,100,67,0,0,100,100,100,67,0,0,0,0,0,0,0,0,0,0,0,33,100,100,0,0,0,33,100,100,0,0,0,0,0,0,3,3,2,3,3,2,0,0,0,100,100,67,100,100,67,0,0,0,33,33,0,0,0,0,0,100,100,0,0,0,0,67,67,0,0,0,0,0,0,0,1,1,0,33,33,0,2,2,0,67,67,0,33,33,0,0,0,0,67,67,0,6.67,6.67,0.00,1,1,0.00,100,100,100,67,33,33,33,33,1.28,1.62,0.00,0.92,1.25,0.00,133,1,1,1,0,0,0,0,1,1,1,0,1,1,2,1,0,0,0,0,0,0,67,67,0,0
Belgium National Team,Belgium,2026,Belgium,3,0,3,0,2,0,2,1,0,1,0,0,0,2.33,0,2.33,0,0,0,12,8,3,5,11,0,11,0,8,0,3,0,5,34,0,34,90,0,90,1,0,1,2,0,2,0,0,0,1,0,1,12,0,12,5,0,5,48,0,48,34,0,34,16,0,16,18,0,18,43,0,43,2,0,2,2,0,2,0,0,0,1,0,1,1,0,1,1,0,1,1.33,0,1.33,3.67,0,3.67,2.67,0,2.67,1,0,1,1.33,0,1.33,0.67,0,0.67,0.67,0,0.67,3,3,1,1,1,1,0,0,0,0,0,0,3,3,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,100,100,33,33,33,33,0,0,0,0,0,0,100,100,33,33,33,33,0,0,67,67,67,67,0,0,0,0,0,0,0,0,67,67,67,67,3,1,0,0,0,0,3,1,0,100,33,0,0,0,0,100,33,0,67,0,67,0,33,0,33,67,0,67,0,0,0,33,0,33,1,0,1,33,0,33,1,0,1,33,0,33,1,0,1,33,0,33,33,0,33,33,0,33,33,0,33,4.00,0.00,4.00,1.67,0,1.67,67,33,33,33,33,33,0,0,1.03,0.00,1.36,0.76,0.00,1.10,133,0,0,0,1,2,2,1,0,2,0,1,0,1,0,0,0,0,1,33,0,33,0,0,0,0
Netherlands National Team,Netherlands,2026,Netherlands,3,3,0,0,1,1,0,1,1,0,1,1,0,1.33,1.33,0,0,0,0,57,3,3,0,6,6,0,3,0,3,0,0,0,90,90,0,90,90,0,0,0,0,2,2,0,1,1,0,1,1,0,16,16,0,2,2,0,43,43,0,33,33,0,12,12,0,21,21,0,28,28,0,2,2,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,2,2,0,1,1,0,1,1,0,1.33,1.33,0,0.67,0.67,0,0.67,0.67,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,1,2,3,3,3,0,0,0,0,0,0,100,67,33,0,0,0,100,67,33,0,0,0,0,0,0,0,0,0,0,33,67,100,100,100,0,33,67,100,100,100,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,67,67,0,67,67,0,0,0,0,33,33,0,0,0,0,0,67,67,0,33,33,0,33,33,0,1,1,0,33,33,0,1,1,0,33,33,0,2,2,0,67,67,0,0,0,0,100,100,0,0,0,0,5.33,5.33,0.00,0.67,0.67,0.00,100,100,100,67,33,33,0,0,0.94,1.27,0.00,0.76,1.09,0.00,33,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,33,33,0,33,33,0,0
Japan National Team,Japan,2026,Japan,3,1,2,0,3,1,2,0,0,0,0,0,0,3,3,3,0,0,0,4,3,0,3,3,1,2,1,2,0,0,1,2,90,90,90,0,0,0,3,1,2,0,0,0,0,0,0,3,1,2,14,5,9,4,0,4,47,55,43,40,15,25,16,7,9,24,8,16,40,11,29,1,0,1,0,0,0,1,0,1,1,0,1,2,1,1,0,0,0,1.67,1,2,1,1,1,1,1,1,0,0,0,0.33,0,0.5,0.33,0,0.5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,3,3,3,3,0,1,1,1,1,1,0,2,2,2,2,2,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,50,0,0,100,100,100,0,100,100,100,0,0,0,0,0,0,100,100,100,3,1,2,100,100,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,67,100,50,0,0,0,4.67,5.00,4.50,1.33,0,2.00,67,67,67,67,67,33,0,0,1.50,1.80,1.36,1.25,0.85,1.46,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador National Team,Ecuador,2026,Ecuador,3,1,2,0,1,1,0,2,0,2,0,0,0,1.67,3,1,0,0,0,34,4,3,1,7,3,4,2,2,1,2,1,0,68,45,90,90,90,90,0,0,0,3,1,2,0,0,0,2,1,1,13,2,11,3,1,2,53,42,59,35,11,24,11,6,5,24,5,19,49,16,33,2,1,1,1,0,1,1,1,0,1,1,0,2,0,2,0,0,0,1.67,3,1,2.33,3,2,1.33,2,1,1,1,1,1,1,1,0.67,1,0.5,0.33,0,0.5,3,3,1,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,2,3,3,3,0,0,0,1,1,1,0,0,2,2,2,2,100,100,33,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,0,0,67,100,100,100,0,0,0,100,100,100,0,0,100,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,100,0,0,50,50,0,33,100,0,0,0,0,0,100,100,100,0,0,0,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,1,0,1,33,0,50,33,100,0,67,0,100,0,0,0,4.33,2.00,5.50,1,1,1.00,33,33,33,33,33,33,0,0,1.29,1.31,1.28,0.89,1.10,0.78,33,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,67,0,100,0,0,0,0
Ghana National Team,Ghana,2026,Ghana,4,0,4,0,0,0,0,1,0,1,3,0,3,0.25,0,0.25,0,0,0,122,3,10,-7,13,0,13,0,3,0,10,0,-7,120,0,120,36,0,36,0,0,0,3,0,3,1,0,1,1,0,1,14,0,14,8,0,8,36,0,36,29,0,29,10,0,10,19,0,19,38,0,38,0,0,0,3,0,3,-3,0,-3,0,0,0,1,0,1,3,0,3,0.25,0,0.25,3.25,0,3.25,0.75,0,0.75,2.5,0,2.5,0.75,0,0.75,0,0,0,0.75,0,0.75,4,4,2,1,1,1,0,0,0,0,0,0,4,4,2,1,1,1,0,0,2,3,3,3,0,0,0,0,0,0,0,0,2,3,3,3,100,100,50,25,25,25,0,0,0,0,0,0,100,100,50,25,25,25,0,0,50,75,75,75,0,0,0,0,0,0,0,0,50,75,75,75,3,0,0,0,0,0,3,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,75,25,0,25,25,0,25,1,0,1,25,0,25,4,0,4,100,0,100,0,0,0,0,0,0,0,0,0,25,0,25,75,0,75,3.50,0.00,3.50,2,0,2.00,100,100,75,50,50,50,25,0,0.54,0.00,0.79,1.67,0.00,1.92,50,0,0,0,0,0,0,2,1,0,1,1,0,0,1,3,0,1,3,25,0,25,75,0,75,0
Senegal National Team,Senegal,2026,Senegal,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,0,0,0,15,7,4,3,11,6,5,5,2,1,3,4,-1,39,36,45,68,180,30,1,1,0,2,1,1,0,0,0,2,2,0,20,13,7,2,2,0,54,55,53,37,30,7,18,15,3,19,15,4,18,9,9,3,2,1,2,0,2,1,2,-1,2,2,0,0,0,0,1,0,1,2,3,0,3.67,3,5,2.33,2.5,2,1.33,0.5,3,1.67,1,3,1,1,1,0.67,0,2,3,3,2,2,1,0,2,2,1,1,0,0,1,1,1,1,1,0,0,0,1,1,2,3,0,0,1,1,2,2,0,0,0,0,0,1,100,100,67,67,33,0,100,100,50,50,0,0,100,100,100,100,100,0,0,0,33,33,67,100,0,0,50,50,100,100,0,0,0,0,0,100,3,1,1,2,0,0,1,1,1,100,33,33,100,0,0,100,100,100,67,100,0,35,33,50,0,67,50,100,0,0,0,67,100,0,2,2,0,67,100,0,0,0,0,0,0,0,1,0,1,33,0,100,67,100,0,0,0,0,33,0,100,6.67,6.50,7.00,0.67,1,0.00,100,100,100,100,100,33,33,0,1.55,1.88,0.89,1.46,1.30,1.78,67,0,0,0,0,4,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,33,0,100,0
Bolivia National Team,Bolivia,2026,Bolivia,3,3,0,0,1,1,0,1,1,0,1,1,0,1.33,1.33,0,0,0,0,61,4,2,2,6,6,0,4,0,2,0,2,0,68,68,0,134,134,0,1,1,0,1,1,0,1,1,0,1,1,0,23,23,0,4,4,0,49,49,0,36,36,0,16,16,0,20,20,0,22,22,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1.33,1.33,0,2,2,0,1.33,1.33,0,0.67,0.67,0,1,1,0,0.67,0.67,0,0.33,0.33,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,1,2,3,3,3,0,0,0,0,0,0,100,67,33,0,0,0,100,67,33,0,0,0,0,0,0,0,0,0,0,33,67,100,100,100,0,33,67,100,100,100,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,67,33,0,67,33,0,0,0,0,33,33,0,0,33,33,0,33,33,0,33,33,0,33,33,0,2,2,0,67,67,0,2,2,0,67,67,0,0,0,0,0,0,0,33,33,0,33,33,0,33,33,0,7.67,7.67,0.00,1.33,1.33,0.00,100,100,67,67,33,33,33,0,1.59,2.09,0.00,0.00,0.42,0.00,33,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,33,33,0,33,33,0,0
Panama National Team,Panama,2026,Panama,6,2,4,0,2,1,1,2,0,2,2,1,1,1.33,1.5,1.25,0,0,0,8,10,12,-2,22,7,15,4,6,3,9,1,-3,54,45,60,45,60,40,0,0,0,5,1,4,1,1,0,4,1,3,10,7,3,12,2,10,41,39,42,43,16,27,21,6,15,22,10,12,44,10,34,5,2,3,2,0,2,3,2,1,3,1,2,2,1,1,1,0,1,1.83,2,1.75,3.67,3.5,3.75,1.67,2,1.5,2,1.5,2.25,1.17,1,1.25,0.83,1,0.75,0.33,0,0.5,6,5,3,2,2,2,2,1,1,1,1,1,4,4,2,1,1,1,0,1,3,4,4,4,0,1,1,1,1,1,0,0,2,3,3,3,100,83,50,33,33,33,100,50,50,50,50,50,100,100,50,25,25,25,0,17,50,67,67,67,0,50,50,50,50,50,0,0,50,75,75,75,4,2,1,1,1,0,3,1,1,67,33,17,50,50,0,75,25,25,33,50,25,23,0,0,0,83,50,100,17,50,0,67,50,75,5,2,3,83,100,75,2,1,1,33,50,25,1,0,1,17,0,25,50,50,50,33,50,25,17,0,25,1.67,3.50,0.75,2,1,2.50,50,50,33,33,17,17,17,0,1.05,0.98,1.13,1.55,1.23,1.88,117,1,2,1,0,1,2,0,1,2,1,0,0,1,2,2,4,0,2,33,0,50,33,50,25,0
Iceland National Team,Iceland,2026,Iceland,4,0,4,0,0,0,0,2,0,2,2,0,2,0.5,0,0.5,0,0,0,103,3,8,-5,11,0,11,0,3,0,8,0,-5,120,0,120,45,0,45,0,0,0,2,0,2,2,0,2,2,0,2,4,0,4,6,0,6,46,0,46,22,0,22,8,0,8,14,0,14,42,0,42,2,0,2,2,0,2,0,0,0,1,0,1,2,0,2,1,0,1,1.25,0,1.25,2.75,0,2.75,0.75,0,0.75,2,0,2,1,0,1,0.5,0,0.5,0.5,0,0.5,4,3,2,2,0,0,0,0,0,0,0,0,4,3,2,2,0,0,0,1,2,2,4,4,0,0,0,0,0,0,0,1,2,2,4,4,100,75,50,50,0,0,0,0,0,0,0,0,100,75,50,50,0,0,0,25,50,50,100,100,0,0,0,0,0,0,0,25,50,50,100,100,2,2,0,0,0,0,2,2,0,50,50,0,0,0,0,50,50,0,0,0,0,0,0,0,0,50,0,50,50,0,50,50,0,50,3,0,3,75,0,75,3,0,3,75,0,75,0,0,0,0,0,0,25,0,25,50,0,50,25,0,25,1.00,0.00,1.00,1.5,0,1.50,50,50,50,25,0,0,0,0,0.44,0.00,0.69,1.64,0.00,1.89,100,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,3,50,0,50,50,0,50,0
Georgia National Team,Georgia,2026,Georgia,3,2,1,0,1,0,1,2,2,0,0,0,0,1.67,1,3,0,0,0,35,5,3,2,8,6,2,3,2,3,0,0,2,54,60,45,90,60,0,1,0,1,2,2,0,0,0,0,3,2,1,15,11,4,4,3,1,47,45,50,33,23,10,12,7,5,21,16,5,32,11,21,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.67,3,2,1.67,1.5,2,1,1.5,0,0.33,0.5,0,0.33,0.5,0,0,0,0,3,3,1,1,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,2,2,3,3,0,0,1,1,2,2,0,0,1,1,1,1,100,100,33,33,0,0,100,100,50,50,0,0,100,100,0,0,0,0,0,0,67,67,100,100,0,0,50,50,100,100,0,0,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,33,0,100,-30,33,0,100,67,100,0,0,0,0,100,100,100,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,5.00,5.50,4.00,1.33,1.5,1.00,100,100,100,100,100,33,33,0,1.36,1.38,1.33,1.14,1.11,1.20,100,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,0,67,100,0,0,0,0,0
Israel National Team,Israel,2026,Israel,2,0,2,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,40,3,2,1,5,0,5,0,3,0,2,0,1,60,0,60,90,0,90,1,0,1,1,0,1,0,0,0,1,0,1,9,0,9,2,0,2,51,0,51,21,0,21,6,0,6,15,0,15,17,0,17,0,0,0,1,0,1,-1,0,-1,0,0,0,1,0,1,1,0,1,0.5,0,0.5,2.5,0,2.5,1.5,0,1.5,1,0,1,0.5,0,0.5,0,0,0,0.5,0,0.5,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,1,1,1,2,2,100,50,50,50,0,0,0,0,0,0,0,0,100,50,50,50,0,0,0,50,50,50,100,100,0,0,0,0,0,0,0,50,50,50,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,50,0,0,50,0,50,0,50,0,50,50,0,50,0,0,0,50,0,50,1,0,1,50,0,50,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,4.50,0.00,4.50,1,0,1.00,100,100,100,50,50,50,50,0,0.71,0.00,1.21,0.64,0.00,1.14,100,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,50,0,50,0,0,0,0
Lithuania National Team,Lithuania,2026,Lithuania,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,0,0,79,2,2,0,4,2,2,0,2,2,0,-2,2,90,0,45,90,45,0,1,0,1,0,0,0,1,1,0,1,0,1,14,7,7,7,5,2,52,50,53,19,10,9,6,3,3,13,7,6,25,13,12,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,1,3,2,2,2,1,0,2,1,2,0,0.5,0,1,0.5,0,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,50,0,100,-100,50,0,100,0,0,0,50,100,0,50,0,100,2,1,1,100,100,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,50,100,0,0,0,0,7.00,7.00,7.00,3.5,5,2.00,100,100,100,100,50,0,0,0,1.28,1.20,1.35,1.19,1.33,1.04,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,50,100,0,0
Croatia National Team,Croatia,2026,Croatia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,0,0,0,92,3,6,-3,9,2,7,0,3,2,4,-2,-1,90,0,60,45,45,45,0,0,0,2,0,2,1,1,0,1,0,1,9,3,6,8,2,6,51,57,48,29,5,24,7,1,6,22,4,18,44,13,31,2,0,2,3,1,2,-1,-1,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,2,3.5,1,0,1.5,2,2,2,1.67,1,2,0.67,0,1,1,1,1,3,3,2,1,0,0,1,1,0,0,0,0,2,2,2,1,0,0,0,0,1,2,3,3,0,0,1,1,1,1,0,0,0,1,2,2,100,100,67,33,0,0,100,100,0,0,0,0,100,100,100,50,0,0,0,0,33,67,100,100,0,0,100,100,100,100,0,0,0,50,100,100,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,33,0,50,0,0,0,0,67,0,100,33,100,0,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,33,0,50,0,0,0,67,100,50,3.00,3.00,3.00,2.67,2,3.00,67,33,33,33,0,0,0,0,1.03,0.69,1.21,1.42,1.03,1.62,67,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,67,100,50,0
Canada National Team,Canada,2026,Canada,4,4,0,0,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0,10,5,2,3,7,7,0,5,0,2,0,3,0,72,72,0,180,180,0,3,3,0,1,1,0,1,1,0,2,2,0,36,36,0,10,10,0,56,56,0,53,53,0,22,22,0,31,31,0,49,49,0,0,0,0,2,2,0,-2,-2,0,0,0,0,3,3,0,1,1,0,0.75,0.75,0,1.75,1.75,0,1.25,1.25,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0,3,2,1,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,1,2,3,3,4,4,0,0,0,0,0,0,75,50,25,25,0,0,75,50,25,25,0,0,0,0,0,0,0,0,25,50,75,75,100,100,25,50,75,75,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,25,25,0,25,25,0,0,0,0,50,50,0,0,75,75,0,25,25,0,25,25,0,50,50,0,3,3,0,75,75,0,4,4,0,100,100,0,0,0,0,0,0,0,0,0,0,75,75,0,25,25,0,9.00,9.00,0.00,2.5,2.5,0.00,100,100,100,75,25,25,25,25,1.32,1.65,0.00,0.35,0.69,0.00,50,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,50,50,0,0,0,0,25
